eiaid,p3_lvl_cost_per_kwh
2726.0,0.0654367411528697
2759.0,0.0798328963754055
2773.0,0.088864517647932
2809.0,0.129371405788232
2810.0,0.1049827115883369
2812.0,0.1126592429733255
2821.0,0.1131586795294046
2851.0,0.0878153813461608
2859.0,0.080680061843339
2888.0,0.1056655287842773
2890.0,0.179748521363685
2900.0,0.1585124018634716
2903.0,0.0816681243343352
2910.0,0.1210382384898921
2911.0,0.0577611296923427
2931.0,0.1937490495269746
2955.0,0.0884274803626638
2960.0,0.1842886546302115
2961.0,0.1228656924686236
2964.0,0.06327688251423
2974.0,0.0936509694392051
2985.0,0.0735679056841849
3008.0,0.0435169217585086
3029.0,0.0910183331249377
3037.0,0.0669208574612137
3040.0,0.1124077333472689
3075.0,0.0930974683838843
3082.0,0.1090544823280807
3086.0,0.1027316870340346
3093.0,0.074002958999445
3111.0,0.0924175777089595
3113.0,0.1194605264171519
3136.0,0.0968332477455992
3137.0,0.1254737123269271
3138.0,0.1646024592340154
3153.0,0.0992889121555332
3164.0,0.056
3168.0,0.1112507652755259
3170.0,0.082644751460212
3186.0,0.0531357948819293
3191.0,0.0942619715514928
3203.0,0.0831864734019434
3208.0,0.1138169217585086
3216.0,0.1235990055783671
3222.0,0.126307
3226.0,0.0849440037597793
3227.0,0.0703021986753863
3230.0,0.0494604257111236
3235.0,0.0507309740233289
3240.0,0.0727763292399851
3245.0,0.1434258486598601
3249.0,0.1175586315145277
3250.0,0.1091248358665261
3264.0,0.1196237783845772
3265.0,0.1260024670361953
3266.0,0.0504088937199499
3273.0,0.1425193003533145
3278.0,0.1916758345897043
3287.0,0.0849345777089595
3292.0,0.1448174941735326
3294.0,0.0661692175850866
3296.0,0.0971488246954731
3315.0,0.0976452561733004
3323.0,0.0790813119009017
3329.0,0.0626670310835838
3355.0,0.0598003390886161
3356.0,0.00053
3366.0,0.1282876042156149
3373.0,0.0691627891472525
3384.0,0.1052804373003005
3400.0,0.1651078705333729
3405.0,0.1159670310835838
3406.0,0.0912252733126878
3413.0,0.0272822825312566
3422.0,0.6500000000000001
3426.0,0.1006802362303184
3445.0,0.095939206646783
3447.0,0.1090740932507514
3454.0,0.0757583211194704
3459.0,0.0851321061238659
3470.0,0.0890595041511021
3475.0,0.1013655654469198
3477.0,0.1269470310835838
3478.0,0.0794798651967438
3486.0,0.1081787659465758
3498.0,0.1056514914752289
3503.0,0.1500685653667635
3522.0,0.2642390554033387
3525.0,0.0698523194976648
3527.0,0.0688027119389025
3535.0,0.1113385966622844
3542.0,0.0450320841796543
3597.0,0.130083159293163
3600.0,0.1071010932507514
3633.0,0.0925810009211379
3647.0,0.1112505466253757
3702.0,0.0817553660448587
3704.0,0.1800685916769378
3710.0,0.0469797127923001
3712.0,0.0898185255342418
3716.0,0.0736024051516531
3731.0,0.0871459303845765
3732.0,0.1545897458012096
3735.0,0.0893257106129884
3739.0,0.1013222115201992
3758.0,0.0913627032079422
3762.0,0.0818498461629971
3774.0,0.091327621549804
3804.0,0.1439441784209516
3806.0,0.0908278060502413
3813.0,0.072658512498321
3814.0,0.078686152219887
3815.0,0.0497221297406199
3824.0,0.069112745981419
3844.0,0.143
3850.0,0.1886334012457745
3855.0,0.1726352018821784
3881.0,0.0752000910642499
3913.0,0.0621712068606734
3915.0,0.1185465378793697
3923.0,0.070515290892856
3938.0,0.0744175777089595
3939.0,0.1036412144285656
3957.0,0.1177
3986.0,0.093538128619182
4003.0,0.1579535450624843
4005.0,0.0856441714922427
4007.0,0.0813812078939551
4008.0,0.1113063941576717
4062.0,0.2011201434738648
4063.0,0.0837558156532167
4065.0,0.1995275251112085
4068.0,0.1042772497337341
4071.0,0.1087946087925433
4073.0,0.0855455612159153
4078.0,0.067299905007425
4091.0,0.1008135155417919
4110.0,0.0254867127994899
4117.0,0.1468797118888652
4147.0,0.2057363140503641
4150.0,0.0885081016518539
4153.0,0.0899869612414556
4160.0,0.0790857020432947
4226.0,0.0965409044692012
4247.0,0.1022055377735098
4254.0,0.011789586410217
4294.0,0.1670304946093948
4295.0,0.1178604683838843
4296.0,0.0876175777089595
4304.0,0.0915846087925433
4305.0,0.0582175777089595
4317.0,0.1134715089076658
4319.0,0.0552473175804678
4329.0,0.1811340621671676
4341.0,0.0677213161857485
4344.0,0.0560563111003065
4346.0,0.0790555269566824
4373.0,0.130487110531346
4375.0,0.0861202623801803
4401.0,0.0797555777089595
4414.0,0.0599367267754683
4429.0,0.0384376214389895
4432.0,0.1104263237149708
4437.0,0.1036510932507514
4442.0,0.0853340621671676
4459.0,0.0963894867559671
4483.0,0.1092538113341102
4486.0,0.13
4509.0,0.0895123043962716
4524.0,0.0956371749257998
4538.0,0.0578983940681158
4562.0,0.0942670310835838
4577.0,0.1115741683014621
4604.0,0.1336126305694021
4607.0,0.085910048855351
4608.0,0.0939525631722622
4619.0,0.1803235974137678
4622.0,0.0892698584381212
4624.0,0.1696832866537006
4632.0,0.1543791026255943
4661.0,0.1666891800150884
4671.0,0.0913343447814811
4675.0,0.0543151116878889
4683.0,0.0820309523695297
4685.0,0.1030677974001862
4704.0,0.0942659841551196
4715.0,0.0892938749737606
4717.0,0.0843553504948434
4720.0,0.0980305209162946
4739.0,0.1202095212904895
4743.0,0.0821845693473601
4744.0,0.0844291807845881
4796.0,0.1121707692151804
4914.0,0.0461
4919.0,0.076536169778304
4920.0,0.1085260385882138
4922.0,0.0519674277315589
4934.0,0.0783940593539293
4939.0,0.0902505466253757
4958.0,0.107143646731882
4959.0,0.4087786571399543
4960.0,0.1026965162409574
4961.0,0.0793280784615268
4975.0,0.0902923043962716
4981.0,0.0721486576643895
5021.0,0.1335017602512309
5027.0,0.1705142781322861
5036.0,0.0929175777089595
5056.0,0.0573092245061362
5070.0,0.1483213108082851
5076.0,0.0608769131888149
5086.0,0.0948203449416602
5096.0,0.1051670310835838
5097.0,0.0923474125370418
5148.0,0.1740453695942213
5154.0,0.1457681489198637
5325.0,0.1348267240924104
5326.0,0.0181668640525002
5334.0,0.0862260621671676
5335.0,0.1909759459500234
5336.0,0.0587600471327238
5354.0,0.1067624126464947
5372.0,0.1006830312913828
5397.0,0.0891570092185687
5416.0,0.0341634001068748
5417.0,0.1362960641476086
5429.0,0.0564927697957092
5438.0,0.0662681243343352
5442.0,0.0883761107427634
5479.0,0.0538735858970682
5480.0,0.1175245629767355
5518.0,0.1225705903554058
5529.0,0.1039434337667286
5563.0,0.0988169217585086
5575.0,0.0824528553064942
5580.0,0.0985153969571332
5582.0,0.1290069606822474
5584.0,0.0627670310835838
5588.0,0.0843050289534565
5605.0,0.0977808505931626
5625.0,0.0508999798159332
5630.0,0.0523864066892795
5655.0,0.0586252930352794
5661.0,0.0805146182020626
5686.0,0.1141
5701.0,0.1957654737824329
5728.0,0.1032004373003005
5729.0,0.0918108331913912
5730.0,0.1218848400007422
5732.0,0.0959827863856271
5741.0,0.0805529195927022
5742.0,0.1038550810122173
5744.0,0.130084655582866
5752.0,0.1068865155417919
5760.0,0.160388135701077
5762.0,0.0676
5763.0,0.1739189521005898
5771.0,0.0700595083580045
5780.0,0.0858885444952484
5794.0,0.0778653559452446
