state,county,p1_lcoc,p2_lcoc,p3_lcoc,p4_lcoc,comb_lcoc
AR,Madison,0.94,0.17,0.14,0.13,0.14412324393875858
AR,Marion,1.41,0.21,0.17,0.13,0.1671327033172908
AR,Miller,1.66,0.23,0.18,0.13,0.1759284747102262
AR,Mississippi,0.97,0.2,0.17,0.12,0.15976545170202505
AR,Monroe,1.36,0.22,0.18,0.13,0.1731254800269183
AR,Montgomery,2.27,0.27,0.2,0.13,0.1942859387532771
AR,Nevada,0.99,0.21,0.17,0.14,0.16779772475815088
AR,Newton,0.94,0.17,0.14,0.12,0.1405337958795752
AR,Ouachita,0.99,0.2,0.17,0.13,0.1634941581716048
AR,Perry,0.98,0.2,0.17,0.13,0.1634245289664066
AR,Phillips,1.74,0.24,0.18,0.13,0.17719962687917434
AR,Pike,2.12,0.27,0.2,0.14,0.1968309487344879
AR,Poinsett,1.56,0.23,0.18,0.13,0.17523218265824447
AR,Polk,1.81,0.24,0.18,0.13,0.17768703131556152
AR,Pope,0.94,0.17,0.14,0.12,0.1405337958795752
AR,Prairie,1.36,0.22,0.18,0.13,0.1731254800269183
AR,Pulaski,1.7,0.25,0.22,0.16,0.21091078959631746
AR,Randolph,0.96,0.2,0.16,0.13,0.15765846634775452
AR,Saline,0.95,0.19,0.14,0.12,0.14203166213949878
AR,Scott,0.94,0.18,0.14,0.13,0.14483736246612128
AR,Searcy,0.96,0.17,0.14,0.11,0.1370836062307882
AR,Sebastian,0.96,0.18,0.15,0.13,0.15060342508477337
AR,Sevier,1.81,0.24,0.18,0.13,0.17768703131556152
AR,Sharp,0.97,0.2,0.16,0.13,0.1577280955529527
AR,St Francis,1.74,0.24,0.18,0.13,0.17719962687917434
AR,Stone,0.98,0.2,0.17,0.13,0.1634245289664066
AR,Union,0.98,0.2,0.17,0.13,0.1634245289664066
AR,Van Buren,0.96,0.17,0.14,0.11,0.1370836062307882
AR,Washington,0.94,0.17,0.15,0.13,0.14975004814701431
AR,White,1.57,0.23,0.2,0.14,0.19014486833913755
