state,county,p1_lcoc,p2_lcoc,p3_lcoc,p4_lcoc,comb_lcoc
TX,Archer,3.45,0.42,0.34,0.18,0.3099364620885994
TX,Armstrong,3.53,0.41,0.3,0.2,0.2944510564881659
TX,Atascosa,2.53,0.38,0.38,0.23,0.3411285582298565
TX,Austin,2.35,0.31,0.28,0.18,0.26066112046627615
TX,Bailey,3.24,0.38,0.26,0.17,0.2570138929447576
TX,Bandera,2.42,0.35,0.3,0.23,0.29320584772454256
TX,Bastrop,2.35,0.32,0.28,0.18,0.26137523899363885
TX,Baylor,3.37,0.42,0.31,0.18,0.29249901582224674
TX,Bee,2.44,0.38,0.35,0.25,0.33080037887667246
TX,Bell,2.39,0.34,0.31,0.22,0.2943201977306577
TX,Bexar,2.41,0.35,0.31,0.23,0.29876302272760014
TX,Blanco,2.85,0.38,0.31,0.23,0.3039690633384079
TX,Borden,3.79,0.44,0.34,0.21,0.3245004362976128
TX,Bosque,3.02,0.39,0.36,0.2,0.32323255521786803
TX,Bowie,3.1,0.37,0.31,0.21,0.2978167788226327
TX,Brazoria,2.52,0.36,0.34,0.17,0.2955867867818096
TX,Brazos,3.91,0.47,0.36,0.24,0.3495002949361406
TX,Brewster,2.92,0.4,0.34,0.23,0.3227651174542877
TX,Briscoe,3.25,0.4,0.31,0.21,0.30100357248269344
TX,Brooks,2.53,0.36,0.37,0.23,0.3340735169668754
TX,Brown,2.9,0.39,0.33,0.2,0.30551659213072274
TX,Burleson,3.05,0.36,0.36,0.23,0.33206743142892464
TX,Burnet,3.65,0.45,0.34,0.22,0.32782919401138455
TX,Caldwell,2.42,0.35,0.31,0.22,0.2952432038736149
TX,Calhoun,2.65,0.4,0.41,0.22,0.35668331031254374
TX,Callahan,2.43,0.37,0.32,0.2,0.2951889782234275
TX,Cameron,2.41,0.34,0.33,0.23,0.30930251261674896
TX,Camp,2.33,0.28,0.24,0.17,0.23228284158158535
TX,Carson,3.93,0.43,0.29,0.17,0.2822693133650123
TX,Cass,2.33,0.28,0.24,0.17,0.23228284158158535
TX,Castro,2.84,0.36,0.29,0.2,0.28044924448442266
TX,Chambers,2.52,0.36,0.33,0.19,0.2971388786919207
TX,Cherokee,2.88,0.34,0.33,0.2,0.3018067410835129
TX,Childress,2.89,0.39,0.32,0.21,0.30340960677645223
TX,Clay,3.32,0.43,0.37,0.19,0.3302152616323364
TX,Cochran,2.83,0.36,0.29,0.17,0.2696112711016743
TX,Coke,3.37,0.42,0.34,0.2,0.31655832456538074
TX,Coleman,2.88,0.37,0.31,0.2,0.29269548824908953
TX,Collin,2.42,0.35,0.34,0.2,0.30494472038001535
TX,Collingsworth,2.42,0.36,0.3,0.24,0.2975094143110887
TX,Colorado,2.52,0.36,0.31,0.19,0.28588527027540916
TX,Comal,2.37,0.31,0.28,0.21,0.27156872305422264
TX,Comanche,2.43,0.37,0.34,0.21,0.3100320346991223
TX,Concho,3.21,0.42,0.34,0.2,0.31544425728221
TX,Cooke,3.02,0.41,0.36,0.2,0.3246607922725934
TX,Coryell,2.39,0.33,0.33,0.21,0.3012702395606231
TX,Cottle,3.37,0.42,0.3,0.19,0.2904616596731744
TX,Crane,3.51,0.43,0.35,0.2,0.32387405617377363
TX,Crockett,3.05,0.41,0.34,0.22,0.32079496759004333
TX,Crosby,3.18,0.39,0.3,0.21,0.2941752453106878
TX,Culberson,3.07,0.42,0.36,0.27,0.35084919324023073
TX,Dallam,2.42,0.34,0.29,0.22,0.28327547692974075
TX,Dallas,2.38,0.3,0.3,0.18,0.27140949797101943
TX,Dawson,3.65,0.43,0.31,0.2,0.30234164821352505
TX,DeWitt,2.53,0.38,0.35,0.23,0.32424814560508924
TX,Deaf Smith,2.37,0.33,0.29,0.21,0.2786237643172038
TX,Delta,2.42,0.33,0.28,0.2,0.2697556580757555
TX,Denton,2.99,0.41,0.36,0.18,0.3172730085386321
TX,Dickens,2.89,0.39,0.32,0.21,0.30340960677645223
TX,Dimmit,2.57,0.39,0.37,0.24,0.34008383742893955
TX,Donley,3.18,0.39,0.3,0.21,0.2941752453106878
TX,Duval,2.65,0.4,0.41,0.22,0.35668331031254374
TX,Eastland,3.37,0.42,0.35,0.2,0.3221851287736365
TX,Ector,3.65,0.43,0.32,0.2,0.30796845242178084
TX,Edwards,2.85,0.41,0.34,0.23,0.32299183154526323
TX,El Paso,2.48,0.38,0.38,0.27,0.3551382044405992
TX,Ellis,3.02,0.37,0.31,0.19,0.29008084906268056
TX,Erath,3.65,0.45,0.37,0.19,0.33394126245860156
TX,Falls,3.02,0.39,0.36,0.22,0.33041145133623484
TX,Fannin,2.42,0.35,0.34,0.21,0.3085341684391988
TX,Fayette,2.37,0.33,0.28,0.19,0.2658180639905813
TX,Fisher,3.65,0.45,0.36,0.2,0.33190390630952915
TX,Floyd,2.42,0.36,0.29,0.17,0.2667564736885492
TX,Foard,3.45,0.42,0.27,0.16,0.26336993651244245
TX,Fort Bend,2.52,0.36,0.29,0.16,0.2638633176813475
TX,Franklin,2.31,0.24,0.29,0.15,0.2502422339846501
TX,Freestone,3.27,0.4,0.36,0.21,0.32927685193436845
TX,Frio,2.53,0.38,0.38,0.23,0.3411285582298565
TX,Gaines,3.34,0.41,0.31,0.21,0.30234435385683966
TX,Galveston,2.52,0.36,0.36,0.18,0.31042984325750445
TX,Garza,3.93,0.43,0.31,0.22,0.3114701620774407
TX,Gillespie,2.89,0.37,0.31,0.2,0.2927651174542877
TX,Glasscock,3.65,0.45,0.36,0.2,0.33190390630952915
TX,Goliad,2.42,0.37,0.34,0.23,0.317141301612291
TX,Gonzales,2.36,0.33,0.28,0.21,0.2729273309037499
TX,Gray,3.93,0.43,0.29,0.17,0.2822693133650123
TX,Grayson,2.73,0.38,0.36,0.24,0.33485698197649183
TX,Gregg,2.33,0.28,0.24,0.17,0.23228284158158535
TX,Grimes,4.17,0.48,0.36,0.23,0.3484353247394725
TX,Guadalupe,2.39,0.33,0.3,0.21,0.2843898269358559
TX,Hale,3.12,0.39,0.3,0.22,0.29734691813868214
TX,Hall,2.89,0.39,0.32,0.21,0.30340960677645223
TX,Hamilton,2.38,0.33,0.29,0.21,0.27869339352240197
TX,Hansford,2.41,0.34,0.29,0.21,0.27961639966535917
TX,Hardeman,3.45,0.42,0.3,0.17,0.283839797196393
TX,Hardin,2.39,0.35,0.34,0.23,0.315504176941971
TX,Harris,2.52,0.36,0.32,0.22,0.30228041866121513
TX,Harrison,2.54,0.3,0.25,0.17,0.24080009615372816
TX,Hartley,2.42,0.34,0.29,0.22,0.28327547692974075
TX,Haskell,3.37,0.42,0.34,0.19,0.31296887650619737
TX,Hays,2.23,0.23,0.25,0.18,0.23723220916022925
TX,Hemphill,3.17,0.38,0.28,0.19,0.27495899304324867
TX,Henderson,3.03,0.4,0.36,0.22,0.3311951990687957
TX,Hidalgo,2.65,0.4,0.36,0.22,0.3285492892712651
TX,Hill,3.02,0.37,0.36,0.18,0.31462542204477584
TX,Hockley,3.48,0.41,0.3,0.2,0.294102910462175
TX,Hood,2.39,0.35,0.34,0.19,0.30114638470523747
TX,Hopkins,2.98,0.34,0.28,0.16,0.26001121985748243
TX,Houston,3.27,0.4,0.36,0.21,0.32927685193436845
TX,Howard,3.65,0.45,0.36,0.2,0.33190390630952915
TX,Hudspeth,2.48,0.38,0.38,0.27,0.3551382044405992
TX,Hunt,2.42,0.35,0.33,0.19,0.29572846811257625
TX,Hutchinson,2.41,0.34,0.29,0.21,0.27961639966535917
TX,Irion,3.37,0.42,0.35,0.2,0.3221851287736365
TX,Jack,2.99,0.41,0.36,0.18,0.3172730085386321
TX,Jackson,2.52,0.36,0.35,0.21,0.3155713832267989
TX,Jasper,2.39,0.31,0.29,0.21,0.27733478567287473
TX,Jeff Davis,2.92,0.4,0.34,0.23,0.3227651174542877
TX,Jefferson,2.85,0.38,0.36,0.23,0.33210308437968655
TX,Jim Hogg,2.65,0.4,0.41,0.22,0.35668331031254374
TX,Jim Wells,2.55,0.39,0.37,0.23,0.3363551309593598
TX,Johnson,3.02,0.37,0.36,0.18,0.31462542204477584
TX,Jones,3.65,0.44,0.36,0.22,0.3383686839005332
TX,Karnes,2.53,0.36,0.35,0.22,0.3192304604911805
TX,Kaufman,2.41,0.35,0.35,0.2,0.31050189538307293
TX,Kendall,2.4,0.33,0.3,0.23,0.29163835225942086
TX,Kenedy,2.53,0.36,0.37,0.23,0.3340735169668754
TX,Kent,3.65,0.45,0.36,0.2,0.33190390630952915
TX,Kerr,2.75,0.34,0.3,0.23,0.29478949296871965
TX,Kimble,3.37,0.42,0.33,0.21,0.3145209684163084
TX,King,2.86,0.36,0.28,0.16,0.2606039064498297
TX,Kinney,2.57,0.39,0.34,0.23,0.319613976744989
TX,Kleberg,2.65,0.4,0.41,0.22,0.35668331031254374
TX,Knox,2.86,0.36,0.28,0.16,0.2606039064498297
TX,La Salle,2.53,0.38,0.38,0.23,0.3411285582298565
TX,Lamar,2.42,0.35,0.34,0.21,0.3085341684391988
TX,Lamb,3.24,0.38,0.26,0.17,0.2570138929447576
TX,Lampasas,2.39,0.35,0.31,0.22,0.2950343162580204
TX,Lavaca,2.31,0.29,0.25,0.19,0.24566340202517423
TX,Lee,2.35,0.31,0.27,0.2,0.26221321237638723
TX,Leon,3.27,0.4,0.36,0.21,0.32927685193436845
TX,Liberty,2.39,0.35,0.3,0.19,0.2786391678722145
TX,Limestone,3.65,0.45,0.36,0.22,0.3390828024278959
TX,Lipscomb,3.17,0.38,0.28,0.19,0.27495899304324867
TX,Live Oak,2.44,0.38,0.35,0.25,0.33080037887667246
TX,Llano,2.51,0.31,0.28,0.21,0.2725435319269971
TX,Loving,3.65,0.45,0.36,0.2,0.33190390630952915
TX,Lubbock,3.05,0.38,0.29,0.18,0.2761607987299429
TX,Lynn,3.65,0.43,0.31,0.2,0.30234164821352505
TX,Madison,3.53,0.41,0.36,0.23,0.33898022591525045
