state,county,p1_lcoc,p2_lcoc,p3_lcoc,p4_lcoc,comb_lcoc
IL,Kendall,1.61,0.18,0.13,0.09,0.12951792276940963
IL,Knox,1.63,0.23,0.18,0.14,0.1793090351538151
IL,LaSalle,1.61,0.21,0.16,0.12,0.15930903515381512
IL,Lake,1.58,0.18,0.14,0.09,0.13493583936207085
IL,Lawrence,1.65,0.22,0.17,0.13,0.16951792276940963
IL,Lee,1.58,0.18,0.22,0.15,0.20148696138321712
IL,Livingston,1.61,0.18,0.13,0.09,0.12951792276940963
IL,Logan,1.63,0.18,0.12,0.08,0.12044092891236685
IL,Macon,1.71,0.24,0.18,0.15,0.18416963538194658
IL,Macoupin,1.82,0.28,0.21,0.17,0.21185133949171128
IL,Madison,1.67,0.26,0.19,0.17,0.19812505594250182
IL,Marion,1.73,0.27,0.17,0.18,0.19159278934372548
IL,Marshall,1.61,0.18,0.13,0.09,0.12951792276940963
IL,Mason,1.63,0.18,0.12,0.08,0.12044092891236685
IL,Massac,1.61,0.21,0.16,0.11,0.15571958709463174
IL,McDonough,1.63,0.28,0.2,0.16,0.20131213232550685
IL,McHenry,1.62,0.22,0.18,0.14,0.17852528742125423
IL,McLean,1.63,0.18,0.12,0.08,0.12044092891236685
IL,Menard,1.63,0.18,0.12,0.08,0.12044092891236685
IL,Mercer,1.62,0.21,0.14,0.09,0.13735671176495165
IL,Monroe,1.67,0.28,0.18,0.14,0.18315814461142127
IL,Montgomery,1.79,0.31,0.22,0.17,0.21941161166646062
IL,Morgan,1.82,0.28,0.22,0.14,0.20670979952241686
IL,Moultrie,1.65,0.26,0.15,0.11,0.15394189234398215
IL,Ogle,1.58,0.18,0.22,0.15,0.20148696138321712
IL,Peoria,1.63,0.18,0.12,0.08,0.12044092891236685
IL,Perry,1.63,0.18,0.12,0.08,0.12044092891236685
IL,Piatt,1.63,0.18,0.12,0.08,0.12044092891236685
IL,Pike,1.75,0.28,0.22,0.14,0.20622239508602963
IL,Pope,1.63,0.22,0.17,0.13,0.16937866435901328
IL,Pulaski,1.63,0.18,0.12,0.08,0.12044092891236685
IL,Putnam,1.63,0.18,0.12,0.08,0.12044092891236685
IL,Randolph,1.67,0.26,0.16,0.12,0.16329740302181764
IL,Richland,1.65,0.22,0.17,0.13,0.16951792276940963
IL,Rock Island,1.62,0.25,0.17,0.1,0.16068304655835305
IL,Saline,1.63,0.18,0.12,0.08,0.12044092891236685
IL,Sangamon,1.73,0.3,0.23,0.19,0.23108541823453138
IL,Schuyler,1.63,0.28,0.24,0.2,0.23817714139526336
IL,Scott,1.73,0.23,0.17,0.11,0.16361017881999096
IL,Shelby,1.73,0.29,0.22,0.2,0.22833394355809633
IL,St Clair,1.68,0.26,0.18,0.15,0.18538898482107746
IL,Stark,1.63,0.18,0.12,0.08,0.12044092891236685
IL,Stephenson,1.58,0.21,0.17,0.14,0.17190584786484311
IL,Tazewell,1.63,0.18,0.12,0.08,0.12044092891236685
IL,Union,1.63,0.18,0.12,0.08,0.12044092891236685
IL,Vermilion,1.68,0.23,0.18,0.14,0.17965718117980597
IL,Wabash,1.65,0.25,0.21,0.17,0.20852528742125426
IL,Warren,1.63,0.23,0.18,0.14,0.1793090351538151
IL,Washington,1.68,0.22,0.17,0.13,0.16972681038500415
IL,Wayne,1.66,0.24,0.18,0.15,0.18382148935595571
IL,White,1.65,0.24,0.18,0.12,0.17298351597320735
IL,Whiteside,1.67,0.29,0.19,0.15,0.19308851540622313
IL,Will,1.57,0.17,0.13,0.09,0.12852528742125424
IL,Williamson,1.63,0.18,0.12,0.08,0.12044092891236685
IL,Winnebago,1.62,0.22,0.18,0.14,0.17852528742125423
IL,Woodford,1.61,0.18,0.13,0.09,0.12951792276940963
IN,Adams,1.67,0.26,0.2,0.16,0.20016241209157415
IN,Allen,1.69,0.27,0.21,0.17,0.21023204129677234
IN,Bartholomew,1.71,0.28,0.23,0.19,0.22951792276940966
IN,Benton,1.79,0.29,0.3,0.21,0.2773556005145147
IN,Blackford,1.65,0.24,0.19,0.15,0.1893786643590133
IN,Boone,1.68,0.28,0.2,0.16,0.20166027835149772
IN,Brown,1.72,0.28,0.28,0.21,0.26490046913425325
IN,Carroll,1.79,0.28,0.3,0.21,0.276641481987152
IN,Cass,1.69,0.28,0.24,0.19,0.23500546856726903
