entity,state,customers,sales_mwh,revenue_thousands_dollars,avg_price_cents_per_kwh,eiaid
Arizona Public Service Co,AZ,1080665,"13,207,135","1,792,453.00",13.57,803
City of Mesa - (AZ),AZ,14163,"141,943","16,196.80",11.41,12351
"Columbus Electric Coop, Inc",AZ,430,"2,256",386.1,17.11,4071
"Dixie Escalante R E A, Inc",AZ,2119,"24,628","1,903.10",7.73,40165
Electrical Dist No2 Pinal County,AZ,3980,"46,633","5,742.00",12.31,15048
Electrical Dist No3 Pinal County,AZ,21986,"282,573","39,059.00",13.82,30518
Electrical Dist No4 Pinal County,AZ,1525,"17,552","2,132.00",12.15,15049
"Garkane Energy Coop, Inc",AZ,1117,"21,187","2,225.80",10.51,6957
Graham County Electric Coop Inc,AZ,6911,"66,433","8,132.30",12.24,7456
"Mohave Electric Cooperative, Inc",AZ,36655,"394,248","43,885.80",11.13,21538
Morenci Water and Electric Co,AZ,2305,"17,722","1,502.40",8.48,12919
Navajo Tribal Utility Authority,AZ,25839,"147,706","17,411.00",11.79,13314
"Navopache Electric Coop, Inc",AZ,35613,"222,087","30,151.00",13.58,13318
Page Utility Enterprises,AZ,3190,"37,009","2,906.60",7.85,14373
Salt River Project,AZ,942690,"13,074,913","1,515,391.00",11.59,16572
Sulphur Springs Valley E C Inc,AZ,42721,"348,411","49,901.00",14.32,18280
Trico Electric Cooperative Inc,AZ,43445,"470,010","66,679.80",14.19,19189
Tucson Electric Power Co,AZ,381556,"3,785,634","456,215.30",12.05,24211
"UNS Electric, Inc",AZ,84590,"866,216","85,666.80",9.89,19728
USBIA-San Carlos Project,AZ,10629,"109,212","14,735.00",13.49,19604
Wellton-Mohawk Irr & Drain Dist,AZ,2899,"28,741","3,299.00",11.48,25060
Aha Macav Power Service,CA,89,"1,186",97,8.18,58123
Anza Electric Coop Inc,CA,4338,"47,396","8,498.00",17.93,694
Bear Valley Electric Service,CA,22470,"75,681","20,969.50",27.71,17612
City & County of San Francisco,CA,238,620,105.4,17.0,16612
City of Alameda,CA,30811,"126,480","22,851.00",18.07,207
City of Anaheim - (CA),CA,111347,"601,952","99,455.00",16.52,590
City of Azusa,CA,14667,"86,287","11,498.00",13.33,1050
City of Banning - (CA),CA,10985,"73,845","14,902.30",20.18,1192
City of Burbank Water and Power,CA,46215,"272,378","44,978.00",16.51,2507
City of Colton - (CA),CA,16661,"102,454","16,555.00",16.16,4003
City of Corona - (CA),CA,986,"6,459","1,006.70",15.59,4390
City of Glendale - (CA),CA,74783,"378,660","75,595.60",19.96,7294
City of Healdsburg - (CA),CA,4823,"27,341","4,684.00",17.13,8348
City of Lodi - (CA),CA,21940,"156,857","27,418.70",17.48,11124
City of Lompoc - (CA),CA,13165,"54,820","8,522.40",15.55,11148
City of Moreno Valley - (CA),CA,5576,"41,199","8,252.50",20.03,55787
City of Palo Alto - (CA),CA,25579,"150,781","21,530.00",14.28,14401
City of Pasadena - (CA),CA,55763,"329,295","60,025.60",18.23,14534
City of Redding - (CA),CA,37878,"380,047","63,714.20",16.76,15783
City of Riverside - (CA),CA,97347,"747,418","120,465.00",16.12,16088
City of Roseville - (CA),CA,52181,"460,830","71,598.00",15.54,16295
City of Santa Clara - (CA),CA,46859,"238,307","29,239.80",12.27,16655
City of Shasta Lake - (CA),CA,4166,"39,608","6,876.10",17.36,17896
City of Ukiah - (CA),CA,6449,"39,930","5,439.00",13.62,19397
City of Vernon,CA,73,302,35.8,11.85,19798
Imperial Irrigation District,CA,132632,"1,786,016","230,978.00",12.93,9216
Lassen Municipal Utility District,CA,9032,"71,285","11,190.00",15.7,10724
Liberty Utilities,CA,42323,"289,336","39,895.60",13.79,57483
Los Angeles Department of Water & Power,CA,1329968,"8,214,598","1,368,064.10",16.65,11208
Merced Irrigation District,CA,7418,"59,781","9,577.60",16.02,12312
Modesto Irrigation District,CA,97935,"911,922","162,406.00",17.81,12745
PacifiCorp,CA,35704,"380,130","52,760.40",13.88,14354
Pacific Gas & Electric Co.,CA,3998187,"24,984,921","5,292,108.00",21.18,14328
Pittsburg Power Company,CA,348,"1,960",443,22.6,58126
Plumas-Sierra Rural Elec Coop,CA,6606,"57,919","10,764.00",18.58,15308
Sacramento Municipal Util Dist,CA,552678,"4,960,865","697,712.40",14.06,16534
San Diego Gas & Electric Co,CA,1280264,"6,577,628","1,452,724.90",22.09,16609
Southern California Edison Co,CA,4362150,"29,009,414","4,815,238.00",16.6,17609
Surprise Valley Electrification,CA,2825,"35,793","3,146.80",8.79,18260
Truckee Donner P U D,CA,12237,"87,016","13,578.00",15.6,19229
Turlock Irrigation District,CA,73393,"764,099","122,325.00",16.01,19281
"Valley Electric Assn, Inc",CA,12,119,15.6,13.11,19840
Black Hills/Colorado Elec.Utility Co. LP,CO,84283,"607,593","97,528.00",16.05,56146
City of Aspen- (CO),CO,2017,"22,063","2,622.00",11.88,918
City of Colorado Springs - (CO),CO,192721,"1,480,123","183,860.30",12.42,3989
City of Fort Collins - (CO),CO,63760,"485,354","50,959.30",10.5,6604
City of Fort Morgan,CO,4988,"55,221","4,532.00",8.21,6610
City of Fountain,CO,16352,"141,490","14,656.00",10.36,6638
City of Glenwood Springs - (CO),CO,4702,"34,920","3,926.00",11.24,7300
City of Gunnison - (CO),CO,3430,"25,235","2,474.40",9.81,7826
City of Longmont,CO,36392,"303,492","29,478.20",9.71,11187
City of Loveland - (CO),CO,31915,"247,520","25,675.60",10.37,11256
Delta Montrose Electric Assn,CO,29320,"258,885","36,418.10",14.07,5086
"Empire Electric Assn, Inc",CO,11713,"91,746","14,404.00",15.7,5862
Grand Valley Power,CO,15335,"148,912","21,331.40",14.32,7563
Gunnison County Elec Assn.,CO,9308,"72,301","12,330.90",17.05,7787
"High West Energy, Inc",CO,641,"5,993",881,14.7,27058
Highline Electric Assn,CO,4988,"50,734","6,837.00",13.48,8570
"Holy Cross Electric Assn, Inc",CO,46572,"599,913","66,437.70",11.07,8773
Intermountain Rural Elec Assn,CO,141774,"1,478,664","193,627.00",13.09,9336
K C Electric Association,CO,3280,"37,004","4,928.70",13.32,10066
"La Plata Electric Assn, Inc",CO,36015,"280,953","43,219.90",15.38,10539
Moon Lake Electric Assn Inc,CO,1537,"14,663","1,193.40",8.14,12866
Morgan County Rural Elec Assn,CO,4945,"59,538","8,274.00",13.9,12860
"Mountain Parks Electric, Inc",CO,17111,"141,776","20,939.00",14.77,13050
"Mountain View Elec Assn, Inc",CO,47578,"530,475","76,129.00",14.35,13058
"Poudre Valley REA, Inc",CO,35906,"406,573","48,547.40",11.94,15257
Public Service Co of Colorado,CO,1244432,"9,107,102","1,033,324.50",11.35,15466
"San Isabel Electric Assn, Inc",CO,21357,"165,748","27,464.00",16.57,16616
"San Luis Valley R E C, Inc",CO,8490,"64,152","11,238.00",17.52,16603
"San Miguel Power Assn, Inc",CO,10965,"103,269","16,174.50",15.66,16622
Sangre De Cristo Elec Assn Inc,CO,11124,"78,278","13,517.00",17.27,16649
Southeast Colorado Power Assn,CO,7725,"64,911","11,013.70",16.97,17592
Southwestern Electric Coop Inc - (NM),CO,6,39,8.3,21.28,17715
Town of Estes Park,CO,8149,"58,086","7,788.00",13.41,5997
Town of Frederick - (CO),CO,2175,"18,802","2,341.00",12.45,6752
"Tri-County Electric Coop, Inc",CO,8,46,7.1,15.43,19160
"United Power, Inc",CO,73033,"764,253","95,383.00",12.48,19499
"Wheatland Electric Coop, Inc",CO,42,208,33.1,15.91,20510
"White River Electric Assn, Inc",CO,2526,"18,563","2,514.80",13.55,20576
Y-W Electric Assn Inc,CO,4798,"43,153","6,423.00",14.88,21075
Yampa Valley Electric Assn Inc,CO,21605,"222,465","25,314.80",11.38,21081
Bozrah Light & Power Company,CT,2441,"22,146","3,736.40",16.87,2089
City of Jewett City - (CT),CT,1877,"13,095","2,344.90",17.91,9734
City of Norwich - (CT),CT,17613,"119,087","23,017.10",19.33,13831
City of South Norwalk - (CT),CT,5420,"39,097","6,000.40",15.35,17569
Connecticut Light & Power Co,CT,824059,"6,742,630","1,312,619.00",19.47,4176
Groton Dept of Utilities - (CT),CT,12002,"97,005","15,441.10",15.92,7716
Norwalk Third Taxing District,CT,2968,"25,824","4,367.00",16.91,13825
Town of Wallingford - (CT),CT,21264,"206,968","27,987.90",13.52,20038
United Illuminating Co,CT,194728,"1,272,798","301,400.00",23.68,19497
Potomac Electric Power Co,DC,227603,"1,807,036","220,711.90",12.21,15270
City of Dover - (DE),DE,20382,"199,052","24,572.00",12.34,5335
City of Milford - (DE),DE,5916,"63,513","8,742.00",13.76,12540
City of Newark - (DE),DE,11328,"92,952","14,592.00",15.7,13519
City of Seaford- (DE),DE,3102,"31,415","4,480.30",14.26,16852
Delaware Electric Cooperative,DE,85425,"1,081,756","126,256.00",11.67,5070
Delmarva Power,DE,250373,"2,636,985","363,273.80",13.78,5027
New Castle Municipal Serv Comm,DE,2400,"21,258","2,899.00",13.64,13424
Town of Clayton,DE,1316,"13,736","2,110.20",15.36,3732
Town of Middletown - (DE),DE,7470,"81,451","11,482.00",14.1,12478
Town of Smyrna - (DE),DE,4948,"46,227","6,964.10",15.07,17457
Beaches Energy Services,FL,29972,"428,613","49,981.30",11.66,9616
"Central Florida Elec Coop, Inc",FL,30083,"342,777","45,099.30",13.16,3245
"Choctawhatche Elec Coop, Inc",FL,43945,"611,225","70,863.80",11.59,3502
City of Alachua - (FL),FL,3787,"42,300","4,923.00",11.64,201
City of Bartow - (FL),FL,10533,"135,411","17,568.00",12.97,1300
City of Clewiston,FL,3452,"50,941","5,360.10",10.52,3774
City of Green Cove Springs,FL,3433,"48,653","5,897.00",12.12,7593
City of Homestead - (FL),FL,21761,"311,290","35,565.00",11.43,8795
City of Key West - (FL),FL,25342,"353,756","44,496.00",12.58,10226
City of Lake Worth - (FL),FL,23357,"255,928","24,686.00",9.65,10620
City of Lakeland - (FL),FL,107703,"1,460,335","154,675.20",10.59,10623
City of Leesburg - (FL),FL,21338,"227,627","28,701.40",12.61,10868
City of Ocala,FL,41678,"509,389","47,592.10",9.34,13955
City of Starke - (FL),FL,2047,"23,156","2,738.00",11.82,18004
City of Tallahassee - (FL),FL,100921,"1,059,408","118,290.50",11.17,18445
City of Vero Beach - (FL),FL,29266,"368,129","45,927.20",12.48,19804
City of Winter Park - (FL),FL,12358,"185,434","20,729.00",11.18,58124
"Clay Electric Cooperative, Inc",FL,154318,"2,194,296","253,868.60",11.57,3757
"Duke Energy Florida, LLC",FL,1573260,"19,790,794","2,451,768.80",12.39,6455
"Escambia River Elec Coop, Inc",FL,9689,"135,089","18,369.00",13.6,5964
"Florida Keys El Coop Assn, Inc",FL,27034,"402,976","44,361.00",11.01,6443
Florida Power & Light Co,FL,4338224,"57,997,255","6,496,770.00",11.2,6452
Florida Public Utilities Co,FL,24574,"291,500","44,091.30",15.13,6457
