entity,state,customers,sales_mwh,revenue_thousands_dollars,avg_price_cents_per_kwh,eiaid
City of Gladstone,MI,2518,"16,440","2,141.10",13.02,7265
City of Grand Haven - (MI),MI,12176,"79,524","11,135.00",14.0,7483
City of Holland,MI,23981,"167,440","20,837.00",12.44,8723
City of Lansing - (MI),MI,84241,"558,385","82,605.00",14.79,10704
City of Marquette - (MI),MI,14990,"95,349","16,313.80",17.11,11701
City of Marshall - (MI),MI,3874,"25,673","3,399.00",13.24,11713
City of Negaunee,MI,1958,"10,756","1,895.00",17.62,13352
City of Niles - (MI),MI,5992,"47,380","5,547.40",11.71,13604
City of Norway,MI,1840,"13,882","2,082.00",15.0,13826
City of Petoskey - (MI),MI,4417,"23,382","2,643.00",11.3,14867
City of South Haven - (MI),MI,7086,"46,152","6,265.50",13.58,17562
City of Sturgis,MI,6082,"46,598","6,466.00",13.88,18252
City of Traverse City - (MI),MI,9098,"55,649","6,003.00",10.79,19125
City of Zeeland - (MI),MI,5673,"44,222","3,815.00",8.63,21158
Cloverland Electric Co-op,MI,34186,"262,777","33,535.30",12.76,3828
Coldwater Board of Public Util,MI,5671,"38,679","4,788.00",12.38,3915
Consumers Energy Co,MI,1594272,"12,341,231","1,957,153.60",15.86,4254
DTE Electric Company,MI,1980906,"14,884,699","2,309,609.30",15.52,5109
Great Lakes Energy Coop,MI,113765,"827,119","125,226.10",15.14,38084
Hillsdale Board of Public Wks,MI,5080,"36,818","5,166.60",14.03,8631
Indiana Michigan Power Co,MI,109725,"1,145,585","129,581.70",11.31,9324
Midwest Energy Cooperative,MI,28767,"287,891","44,925.70",15.61,12377
Northern States Power Co - Wisconsin,MI,7628,"55,601","7,013.20",12.61,13780
Presque Isle Elec & Gas Coop,MI,31078,"164,245","26,622.90",16.21,15340
Thumb Electric Coop of Mich,MI,11201,"125,812","16,794.00",13.35,18895
Tri-County Electric Coop,MI,22334,"214,700","30,931.80",14.41,19396
Upper Michigan Energy Resources Corp.,MI,32707,"226,364","33,568.90",14.83,60631
Upper Peninsula Power Company,MI,55342,"242,402","58,969.00",24.33,19578
Village of Baraga - (MI),MI,652,"2,886",379,13.13,1196
Village of L'Anse - (MI),MI,989,"4,797",697.5,14.54,10508
Wyandotte Municipal Serv Comm,MI,11633,"78,629","11,545.60",14.68,21048
"ALLETE, Inc.",MN,122295,"1,010,955","106,827.30",10.57,12647
Adrian Public Utilities Comm,MN,536,"6,257",722,11.54,150
Agralite Electric Coop,MN,4382,"82,639","10,250.00",12.4,155
"Arrowhead Electric Coop, Inc",MN,3803,"42,863","6,338.60",14.79,887
BENCO Electric Cooperative,MN,16942,"213,028","28,671.60",13.46,1884
Bagley Public Utilities Comm,MN,546,"5,488",697.2,12.7,1101
"Beltrami Electric Coop, Inc",MN,19469,"287,164","35,802.00",12.47,1529
Blue Earth Light & Water,MN,1912,"13,505","1,548.00",11.46,1883
Brainerd Public Utilities,MN,6686,"49,948","5,694.00",11.4,2138
Brown County Rural Elec Assn,MN,3693,"65,007","7,898.50",12.15,2316
City of Alexandria - (MN),MN,7995,"72,706","7,636.10",10.5,295
City of Anoka,MN,10765,"71,616","9,158.00",12.79,691
City of Arlington - (MN),MN,972,"8,148",783.7,9.62,828
City of Austin - (MN),MN,10468,"75,834","10,523.50",13.88,1009
City of Barnesville - (MN),MN,1193,"16,933","1,578.80",9.32,1233
City of Benson - (MN),MN,1519,"14,463","1,315.70",9.1,1573
City of Breckenridge- (MN),MN,1535,"18,188","1,451.00",7.98,2182
City of Brewster - (MN),MN,219,"2,058",220,10.69,2206
City of Buffalo - (MN),MN,5129,"40,760","5,350.20",13.13,2485
City of Chaska - (MN),MN,9177,"78,290","10,310.30",13.17,3400
City of Detroit Lakes - (MN),MN,5993,"64,852","6,871.20",10.6,5111
City of East Grand Forks - (MN),MN,3810,"36,483","3,969.10",10.88,5575
City of Elk River,MN,9900,"87,831","12,442.00",14.17,5773
City of Ely - (MN),MN,1680,"15,106","1,510.00",10.0,5841
City of Fairfax - (MN),MN,584,"6,351",574.5,9.05,6138
City of Halstad - (MN),MN,273,"4,381",473,10.8,7969
City of Jackson - (MN),MN,1651,"12,941","1,745.60",13.49,9599
City of Lake City - (MN),MN,2879,"22,331","2,489.00",11.15,10595
City of Lake Crystal - (MN),MN,1031,"7,666","1,414.00",18.45,10596
City of Le Sueur - (MN),MN,1850,"14,972","2,070.00",13.83,10814
City of Luverne - (MN),MN,2071,"22,634","2,346.50",10.37,11332
City of Marshall - (MN),MN,5567,"58,623","5,658.50",9.65,11731
City of Moorhead - (MN),MN,16825,"169,855","18,264.10",10.75,12894
City of Mora - (MN),MN,1547,"10,871","1,237.30",11.38,12900
City of North St Paul - (MN),MN,5759,"38,553","5,689.10",14.76,13730
City of Olivia - (MN),MN,1050,"10,873",989.4,9.1,14107
City of Owatonna - (MN),MN,10685,"81,508","10,249.00",12.57,14246
City of Saint Peter,MN,3859,"26,806","3,678.70",13.72,17900
City of Sauk Centre - (MN),MN,1853,"18,133","1,759.60",9.7,16679
City of St James - (MN),MN,1862,"17,356","1,647.00",9.49,17876
City of Staples- (MN),MN,1038,"8,296","1,085.00",13.08,17983
City of Thief River Falls,MN,4172,"38,121","4,455.00",11.69,18820
City of Virginia - (MN),MN,4137,"33,711","4,160.30",12.34,19883
City of Wadena - (MN),MN,1969,"20,782","1,915.10",9.22,19947
City of Warroad,MN,772,"7,004",883.8,12.62,20134
City of Waseca - (MN),MN,3648,"25,566","3,334.00",13.04,20136
City of Windom,MN,2065,"18,889","1,768.00",9.36,20806
City of Winthrop - (MN),MN,666,"5,053",648,12.82,20837
City of Worthington - (MN),MN,4565,"33,932","4,088.10",12.05,21013
Clearwater-Polk Elec Coop Inc,MN,4168,"59,147","8,197.00",13.86,3764
Connexus Energy,MN,120470,"1,127,318","154,207.50",13.68,689
Cooperative L&P Assn Lake County,MN,5514,"56,288","7,603.90",13.51,4346
Crow Wing Cooperative Power & Light Comp,MN,41264,"413,216","50,730.90",12.28,4577
Dakota Electric Association,MN,98048,"906,426","117,358.00",12.95,25177
Delano Municipal Utilities,MN,2352,"20,314","2,293.80",11.29,5015
East Central Energy,MN,48931,"485,515","77,685.00",16.0,5574
Fairmont Public Utilities Comm,MN,4977,"39,841","4,428.10",11.11,6151
Federated Rural Electric Assn,MN,5579,"85,507","9,169.30",10.72,6258
Freeborn-Mower Coop Services,MN,17733,"192,070","23,909.00",12.45,6782
Glencoe Light & Power Comm,MN,2414,"20,202","2,471.30",12.23,7292
Goodhue County Coop Elec Assn,MN,4770,"85,545","11,274.50",13.18,7460
Grand Rapids Public Util Comm,MN,5920,"46,866","4,741.00",10.12,7489
H-D Electric Coop Inc,MN,8,111,14,12.61,7870
Hawley Public Utilities Comm,MN,954,"9,742","1,270.00",13.04,8307
Heartland Power Coop,MN,32,801,95.3,11.9,8319
Hibbing Public Utilities Comm,MN,7163,"47,758","5,913.00",12.38,8543
Hutchinson Utilities Comm,MN,6240,"51,830","5,341.90",10.31,9130
Itasca-Mantrap Co-op Electrical Assn,MN,10543,"118,457","15,251.30",12.87,9475
Kandiyohi Power Coop,MN,7310,"100,327","13,510.00",13.47,9991
Kenyon Municipal Utilities,MN,834,"6,555",871,13.29,10179
Lake Country Power,MN,45444,"472,150","70,248.40",14.88,10697
Lake Region Electric Cooperative - (MN),MN,25276,"314,310","38,223.70",12.16,10618
Litchfield Public Utilities,MN,2726,"31,405","2,810.00",8.95,11064
Lyon-Lincoln Electric Coop Inc,MN,3612,"70,429","8,319.10",11.81,11345
McLeod Cooperative Power Assn,MN,6281,"107,053","14,209.90",13.27,11910
Meeker Coop Light & Power Assn,MN,8155,"134,923","16,428.30",12.18,12227
Melrose Public Utilities,MN,1334,"17,392","1,645.50",9.46,12286
MiEnergy Cooperative,MN,14955,"182,069","25,769.90",14.15,19157
Mille Lacs Energy Cooperative,MN,13850,"118,327","16,752.00",14.16,12546
Minnesota Valley Coop L&P Assn,MN,4963,"128,000","13,438.00",10.5,40304
Minnesota Valley Electric Coop,MN,38401,"457,958","54,475.00",11.9,12651
Moose Lake Water & Light Comm,MN,753,"6,286",570.7,9.08,12897
New Prague Utilities Comm,MN,2257,"17,481","2,258.00",12.92,13480
New Ulm Public Utilities Comm,MN,6168,"44,473","6,142.00",13.81,13488
Nobles Cooperative Electric,MN,5853,"91,678","10,806.60",11.79,13684
North Itasca Electric Coop Inc,MN,5082,"38,076","7,057.00",18.53,13700
"North Star Electric Coop, Inc",MN,5881,"70,747","10,277.90",14.53,13731
Northern States Power Co - Minnesota,MN,1140536,"8,413,242","1,159,883.50",13.79,13781
Northwestern Wisconsin Elec Co,MN,63,377,54,14.32,13815
Otter Tail Power Co,MN,48477,"531,766","53,973.50",10.15,14232
"P K M Electric Coop, Inc",MN,3550,"64,910","8,805.00",13.56,14178
People's Cooperative Services,MN,21138,"241,129","34,556.40",14.33,14468
Princeton Public Utils Comm,MN,2220,"14,763","2,325.00",15.75,15387
"Red Lake Electric Coop, Inc",MN,5139,"89,181","11,004.60",12.34,26934
Red River Valley Coop Pwr Assn,MN,3996,"77,969","10,154.60",13.02,26939
Redwood Electric Coop,MN,3689,"54,792","6,919.00",12.63,15750
Redwood Falls Public Util Comm,MN,2321,"25,820","2,657.20",10.29,15793
Renville-Sibley Coop Pwr Assn,MN,1620,"34,819","4,550.40",13.07,15845
Rochester Public Utilities,MN,48988,"339,825","49,180.00",14.47,16181
"Roseau Electric Coop, Inc",MN,6133,"98,149","13,956.00",14.22,16284
Runestone Electric Assn,MN,13288,"185,802","23,036.00",12.4,16368
Shakopee Public Utilities Comm,MN,15397,"130,285","16,392.00",12.58,16971
Sioux Valley SW Elec Coop,MN,3345,"81,723","8,997.50",11.01,17267
Sleepy Eye Public Utility Comm,MN,1590,"13,253","1,509.00",11.39,17320
South Central Electric Assn,MN,4788,"79,877","10,767.00",13.48,17550
Stearns Cooperative Elec Assn,MN,24414,"373,716","41,950.70",11.23,18019
Steele-Waseca Cooperative Electric,MN,10189,"118,044","16,751.50",14.19,18047
Todd-Wadena Electric Coop,MN,7875,"119,313","14,028.90",11.76,27422
"Traverse Electric Coop, Inc",MN,1873,"33,120","3,910.00",11.81,19060
"Wild Rice Electric Coop, Inc",MN,13468,"201,341","25,577.80",12.7,20639
Willmar Municipal Utilities,MN,7928,"65,552","7,729.00",11.79,20737
Wright-Hennepin Coop Elec Assn,MN,46230,"531,044","63,818.70",12.02,20996
Atchison-Holt Electric Coop,MO,2353,"24,848","3,508.00",14.12,942
Barry Electric Coop,MO,8433,"105,857","12,318.50",11.64,1279
"Barton County Elec Coop, Inc",MO,5906,"77,955","10,346.00",13.27,1301
Black River Electric Coop - (MO),MO,20494,"279,527","28,804.00",10.3,1775
Boone Electric Coop,MO,31027,"392,229","43,829.00",11.17,2001
Callaway Electric Cooperative,MO,12146,"162,903","21,572.00",13.24,4160
Carroll Electric Coop Corp - (AR),MO,11225,"109,256","11,312.00",10.35,3093
Central Missouri Elec Coop Inc,MO,10418,"170,249","16,817.00",9.88,3268
Chillicothe Municipal Utils,MO,3790,"39,780","4,526.00",11.38,3486
Citizens Electric Corporation - (MO),MO,24372,"276,128","38,932.00",14.1,3600
City Utilities of Springfield - (MO),MO,99575,"974,313","101,919.00",10.46,17833
City of Ava - (MO),MO,1198,"10,925",829,7.59,1024
City of Cameron,MO,2866,"29,291","3,266.00",11.15,2900
City of Carthage - (MO),MO,6527,"72,280","7,402.00",10.24,3113
City of Columbia - (MO),MO,43216,"401,964","46,969.90",11.69,4045
City of Farmington - (MO),MO,6269,"78,407","7,829.20",9.99,6205
City of Fulton - (MO),MO,4656,"51,284","5,229.00",10.2,6839
City of Hannibal - (MO),MO,7626,"75,832","8,796.80",11.6,8055
City of Harrisonville - (MO),MO,3987,"40,204","4,876.20",12.13,8199
City of Independence - (MO),MO,52099,"495,156","70,707.50",14.28,9231
City of Jackson - (MO),MO,6165,"71,506","8,564.10",11.98,9603
City of Kennett - (MO),MO,4726,"66,589","5,382.20",8.08,10152
City of Kirkwood - (MO),MO,8776,"95,713","10,290.10",10.75,10370
City of Lamar - (MO),MO,1991,"20,285","2,153.00",10.61,10057
City of Lebanon - (MO),MO,5798,"74,780","7,624.00",10.2,10832
City of Macon - (MO),MO,2526,"25,528","3,600.00",14.1,11460
City of Marshall - (MO),MO,4972,"46,684","5,922.50",12.69,11732
City of Monett - (MO),MO,3883,"42,527","4,745.50",11.16,12782
City of Mount Vernon - (MO),MO,1854,"17,210","2,090.00",12.14,13040
City of Nixa - (MO),MO,8845,"86,184","11,990.00",13.91,3634
City of Poplar Bluff - (MO),MO,7738,"113,680","10,964.70",9.65,15229
City of Rolla - (MO),MO,7820,"92,153","9,736.40",10.57,16259
City of Sikeston - (MO),MO,7475,"120,571","7,818.00",6.48,17177
City of Sullivan - (MO),MO,3155,"38,530","3,710.00",9.63,18273
City of West Plains - (MO),MO,5115,"49,993","6,064.00",12.13,20392
Clay County Electric Coop Corp,MO,45,441,62.9,14.26,3712
Co-Mo Electric Coop Inc,MO,29115,"336,405","41,728.70",12.4,4063
Consolidated Electric Coop,MO,7367,"110,555","12,027.50",10.88,4237
"Crawford Electric Coop, Inc",MO,18356,"241,016","25,570.10",10.61,4524
Cuivre River Electric Coop Inc,MO,62997,"964,840","90,685.00",9.4,4675
Empire District Electric Co,MO,129017,"1,557,665","217,432.40",13.96,5860
"Farmers Electric Coop, Inc - (MO)",MO,11955,"151,677","18,949.90",12.49,6181
Gascosage Electric Coop,MO,8941,"127,006","12,405.00",9.77,7024
"Grundy Electric Coop, Inc",MO,5721,"66,199","8,296.40",12.53,7720
Howard Electric Coop,MO,3387,"40,465","5,561.00",13.74,8911
"Howell-Oregon Elec Coop, Inc",MO,21827,"278,372","28,552.60",10.26,8934
Intercounty Electric Coop Assn,MO,28539,"389,646","43,554.40",11.18,9331
KCP&L Greater Missouri Operations Co.,MO,283563,"3,382,264","380,258.60",11.24,12698
Kansas City Power & Light Co,MO,251503,"2,480,163","363,094.30",14.64,10000
"Laclede Electric Coop, Inc",MO,33604,"463,922","47,317.10",10.2,10603
Lewis County Rural E C A,MO,6374,"75,296","10,648.50",14.14,10962
Macon Electric Coop,MO,9933,"121,302","15,334.10",12.64,11463
Missouri Rural Electric Coop,MO,4775,"60,648","7,071.00",11.66,12700
"New-Mac Electric Coop, Inc",MO,17417,"255,325","30,867.00",12.09,13520
North Central MO Elec Coop Inc,MO,4397,"47,612","6,103.00",12.82,13690
Osage Valley Elec Coop Assn,MO,14930,"219,239","28,012.40",12.78,14192
Ozark Border Electric Coop,MO,32550,"484,003","50,839.00",10.5,14285
Ozark Electric Coop Inc - (MO),MO,30188,"375,669","44,009.10",11.71,14288
Pemiscot-Dunklin Elec Coop Inc,MO,5653,"80,356","9,692.00",12.06,14712
"Platte-Clay Electric Coop, Inc",MO,21336,"324,266","36,724.00",11.33,15138
Ralls County Electric Coop,MO,5440,"67,445","10,394.00",15.41,15672
SE-MA-NO Electric Coop,MO,5713,"76,059","7,165.00",9.42,16851
SEMO Electric Cooperative,MO,10570,"164,085","17,037.00",10.38,16805
Sac-Osage Electric Coop Inc,MO,10394,"121,338","15,939.00",13.14,16511
"Southwest Electric Coop, Inc",MO,38192,"446,550","49,339.00",11.05,27238
Three Rivers Electric Coop,MO,20809,"275,650","29,768.00",10.8,16751
Trenton Municipal Utilities - (MO),MO,2571,"29,199","3,849.20",13.18,19150
Tri-County Electric Coop Assn,MO,5776,"65,652","10,829.00",16.49,19158
Union Electric Co - (MO),MO,1053590,"12,643,985","1,414,580.40",11.19,19436
"United Electric Coop, Inc - (MO)",MO,8278,"98,348","16,678.00",16.96,22646
Webster Electric Coop,MO,17555,"258,258","22,054.00",8.54,20318
West Central Electric Coop Inc - (MO),MO,13756,"226,680","25,087.00",11.07,20363
White River Valley El Coop Inc,MO,36757,"431,681","57,306.00",13.28,20574
4-County Electric Power Assn,MS,38974,"539,587","63,582.00",11.78,6641
Alcorn County Elec Power Assn,MS,14646,"204,068","23,515.00",11.52,276
Canton Municipal Utilities,MS,3876,"47,935","4,695.00",9.79,2974
Central Electric Power Assn - (MS),MS,29605,"425,779","47,087.00",11.06,2849
City of Aberdeen - (MS),MS,2595,"32,158","3,644.00",11.33,55
City of Amory,MS,2915,"37,913","4,035.00",10.64,571
City of Columbus - (MS),MS,9217,"120,204","12,325.00",10.25,4068
City of Holly Springs,MS,8850,"124,692","13,945.00",11.18,8748
City of Macon - (MS),MS,930,"11,193","1,268.00",11.33,11458
City of New Albany - (MS),MS,7851,"108,184","11,327.00",10.47,13412
City of Okolona,MS,4170,"56,758","6,348.00",11.18,14078
City of Oxford - (MS),MS,7439,"81,624","8,737.00",10.7,14275
City of Philadelphia - (MS),MS,2757,"35,597","3,725.00",10.46,14947
City of Starkville,MS,11715,"118,694","12,864.00",10.84,18006
City of Tupelo - (MS),MS,10508,"134,022","12,613.00",9.41,19273
City of Water Valley - (MS),MS,1548,"19,977","2,110.00",10.56,20176
City of West Point - (MS),MS,3079,"33,751","3,858.00",11.43,20394
Clarksdale Public Utilities,MS,5348,"59,159","6,528.00",11.03,3702
Coahoma Electric Power Assn,MS,5889,"89,899","9,408.00",10.47,3839
Coast Electric Power Assn,MS,74816,"1,048,339","122,870.00",11.72,3841
Delta Electric Power Assn,MS,21151,"239,798","28,319.90",11.81,22815
Dixie Electric Power Assn,MS,35383,"499,263","58,977.40",11.81,5175
East Mississippi Elec Pwr Assn,MS,9770,"121,264","15,459.00",12.75,5578
Entergy Mississippi Inc,MS,375747,"5,307,237","502,305.10",9.46,12685
Greenwood Utilities Comm,MS,7642,"95,350","10,339.00",10.84,7651
Louisville Electric System,MS,2534,"30,014","3,086.00",10.28,11247
Magnolia Electric Power Assn,MS,29572,"371,022","46,049.00",12.41,11519
Mississippi Power Co,MS,153154,"1,943,853","257,328.00",13.24,12686
Monroe County Elec Power Assn,MS,9684,"152,335","16,851.00",11.06,40303
Natchez Trace Elec Power Assn,MS,12400,"164,016","18,426.00",11.23,13227
North East Mississippi EPA,MS,22892,"304,110","36,362.00",11.96,40302
Northcentral Mississippi E P A,MS,25458,"416,746","43,324.00",10.4,13735
Pearl River Valley El Pwr Assn,MS,47432,"657,534","85,005.30",12.93,14563
Pontotoc Electric Power Assn,MS,15221,"218,003","25,133.00",11.53,15211
Prentiss County Elec Pwr Assn,MS,10854,"150,575","14,493.00",9.63,15334
Public Serv Comm of Yazoo City,MS,4478,"50,352","5,163.50",10.25,21095
Singing River Elec Pwr Assn,MS,64553,"908,533","102,011.90",11.23,17252
Southern Pine Elec Power Assn,MS,62037,"812,478","95,705.00",11.78,17647
Southwest Mississippi E P A,MS,23219,"262,754","32,574.30",12.4,17683
Tallahatchie Valley E P A,MS,21364,"313,346","35,082.00",11.2,18447
Tippah Electric Power Assn,MS,10355,"137,032","15,465.00",11.29,18943
Tishomingo County E P A,MS,10816,"135,673","14,988.00",11.05,18951
Tombigbee Electric Power Assn,MS,35528,"526,793","55,785.00",10.59,19007
Twin County Electric Pwr Assn,MS,8971,"106,157","14,999.10",14.13,18961
Yazoo Valley Elec Power Assn,MS,9464,"114,147","16,088.00",14.09,21114
Avista Corp,MT,9,219,19,8.68,20169
"Beartooth Electric Coop, Inc",MT,5142,"48,153","6,504.30",13.51,1417
"Big Horn County Elec Coop, Inc",MT,3087,"39,206","4,581.00",11.68,1683
Big Horn Rural Electric Co,MT,41,291,50,17.18,1675
"Black Hills Power, Inc. d/b/a",MT,13,96,6.6,6.88,19545
Fall River Rural Elec Coop Inc,MT,1433,"17,071","1,905.00",11.16,6169
"Fergus Electric Coop, Inc",MT,6069,"61,101","9,511.00",15.57,21513
Flathead Electric Coop Inc,MT,54511,"767,704","71,913.30",9.37,6395
"Glacier Electric Coop, Inc",MT,5972,"70,488","7,303.50",10.36,7262
"Grand Electric Coop, Inc",MT,14,137,16,11.68,7484
"Hill County Electric Coop, Inc",MT,3603,"36,392","5,115.70",14.06,8632
"Lincoln Electric Coop, Inc",MT,5133,"84,895","7,935.00",9.35,11022
"Lower Yellowstone R E A, Inc",MT,3429,"52,941","4,442.50",8.39,11272
Marias River Electric Coop Inc,MT,2501,"29,615","2,445.00",8.26,11643
McCone Electric Coop Inc,MT,4638,"49,033","6,726.00",13.72,11989
McKenzie Electric Coop Inc,MT,25,404,29.7,7.35,12087
"Mid-Yellowstone Elec Coop, Inc",MT,1058,"14,051","2,062.40",14.68,12463
"Missoula Electric Coop, Inc",MT,13099,"164,704","16,204.50",9.84,12692
Montana-Dakota Utilities Co,MT,19962,"189,664","17,866.00",9.42,12199
NorthWestern Energy LLC - (MT),MT,295243,"2,537,635","298,438.10",11.76,12825
"Northern Lights, Inc",MT,3992,"44,717","6,343.00",14.18,13758
Park Electric Coop Inc,MT,5525,"74,373","7,207.70",9.69,14500
Powder River Energy Corporation,MT,44,554,62.2,11.23,19156
"Ravalli County Elec Coop, Inc",MT,9364,"136,771","13,096.50",9.58,26916
"Sheridan Electric Coop, Inc",MT,2070,"36,567","3,400.00",9.3,16759
"Sun River Electric Coop, Inc",MT,4473,"45,671","6,021.60",13.18,18401
Tongue River Electric Coop Inc,MT,4272,"54,673","7,753.00",14.18,19022
USBIA-Mission Valley Power,MT,14903,"232,883","16,112.00",6.92,19603
"Vigilante Electric Coop, Inc",MT,8406,"107,877","8,949.50",8.3,23586
Yellowstone Valley Elec Co-op Inc.,MT,17917,"206,736","25,868.00",12.51,20997
Albemarle Electric Member Corp,NC,11679,"171,386","22,346.00",13.04,240
Blue Ridge Elec Member Corp - (NC),NC,67829,"682,580","87,260.00",12.78,1889
Blue Ridge Mountain EMC - (GA),NC,13845,"142,069","18,344.00",12.91,1891
"Broad River Electric Coop, Inc",NC,411,"5,335",780.9,14.64,2212
Brunswick Electric Member Corp,NC,81154,"969,187","123,593.00",12.75,24889
Cape Hatteras Elec Member Corp,NC,6674,"90,942","12,101.00",13.31,2982
Carteret-Craven El Member Corp,NC,36124,"437,593","50,256.50",11.48,3107
Central Electric Membership Corp. - (NC),NC,20299,"310,062","40,358.10",13.02,3250
City of Albemarle - (NC),NC,9876,"120,632","16,072.90",13.32,232
City of Concord - (NC),NC,26042,"320,814","32,854.20",10.24,4150
City of Elizabeth City - (NC),NC,10718,"133,719","15,849.00",11.85,5760
City of Gastonia - (NC),NC,24059,"249,573","32,219.00",12.91,7027
City of Kings Mountain - (NC),NC,4136,"46,281","5,042.00",10.89,10324
City of Kinston - (NC),NC,9694,"124,500","16,282.00",13.08,10345
City of Laurinburg - (NC),NC,4638,"51,423","6,220.50",12.1,10770
City of Lexington - (NC),NC,16547,"206,510","28,081.00",13.6,10966
City of Lumberton - (NC),NC,9673,"84,262","10,770.60",12.78,11318
City of Monroe - (NC),NC,8797,"101,887","13,317.20",13.07,12801
City of Morganton - (NC),NC,6560,"65,008","8,469.00",13.03,12944
City of New Bern - (NC),NC,19103,"233,377","23,465.00",10.05,13416
City of Newton - (NC),NC,3994,"45,821","5,883.30",12.84,13561
City of Rocky Mount - (NC),NC,24020,"292,646","35,997.00",12.3,16226
City of Shelby - (NC),NC,6245,"68,904","7,826.00",11.36,17037
City of Statesville - (NC),NC,10747,"110,509","12,645.60",11.44,18022
City of Washington - (NC),NC,11245,"132,294","17,078.30",12.91,20142
City of Wilson,NC,29975,"391,407","45,184.50",11.54,20785
"Duke Energy Carolinas, LLC",NC,1693953,"20,436,605","2,079,503.30",10.18,5416
Duke Energy Progress - (NC),NC,1183832,"15,318,245","1,588,079.70",10.37,3046
Edgecombe-Martin County E M C,NC,10199,"145,381","19,491.00",13.41,5656
EnergyUnited Elec Member Corp,NC,110515,"1,546,199","171,005.00",11.06,21632
Fayetteville Public Works Commission,NC,72797,"854,820","96,523.00",11.29,6235
Four County Elec Member Corp,NC,29454,"426,967","54,902.80",12.86,6640
French Broad Elec Member Corp,NC,33825,"290,848","38,773.90",13.33,6784
Greenville Utilities Comm,NC,58584,"707,633","81,527.90",11.52,7639
Halifax Electric Member Corp,NC,10521,"120,303","17,819.00",14.81,7978
Haywood Electric Member Corp,NC,25980,"241,571","36,528.00",15.12,8333
Jones-Onslow Elec Member Corp,NC,70421,"890,950","104,875.30",11.77,9837
Lumbee River Elec Member Corp,NC,57848,"897,181","104,858.00",11.69,11291
Mecklenburg Electric Cooperative,NC,129,"1,629",199.1,12.22,12260
"Mountain Electric Coop, Inc",NC,15142,"153,837","16,592.00",10.79,13027
New River Light & Power Co,NC,6379,"54,907","5,396.00",9.83,13482
Pee Dee Electric Member Corp,NC,19169,"254,257","31,982.50",12.58,14717
Piedmont Electric Member Corp,NC,28006,"390,492","51,683.00",13.24,15023
Pitt & Greene Elec Member Corp,NC,7307,"116,515","14,820.80",12.72,14857
Randolph Electric Member Corp,NC,29445,"357,008","46,871.50",13.13,15671
Roanoke Electric Member Corp,NC,12206,"169,022","23,820.00",14.09,16101
Rutherford Elec Member Corp,NC,64195,"849,589","97,011.80",11.42,16496
South River Elec Member Corp,NC,41706,"634,440","77,562.70",12.23,17572
Surry-Yadkin Elec Member Corp,NC,26770,"331,115","46,020.70",13.9,18339
Tideland Electric Member Corp,NC,20153,"228,481","29,202.00",12.78,19108
Town of Apex- (NC),NC,16934,"188,460","19,078.70",10.12,719
Town of Ayden - (NC),NC,3592,"43,798","5,305.70",12.11,1036
Town of Clayton,NC,5805,"65,170","9,002.00",13.81,3731
Town of Edenton - (NC),NC,3356,"39,104","4,755.00",12.16,6710
Town of Forest City,NC,3188,"32,986","4,145.00",12.57,6580
Town of High Point,NC,36907,"388,061","50,578.30",13.03,8571
Town of Huntersville - (NC),NC,5132,"58,521","6,668.00",11.39,9087
Town of Murphy - (NC),NC,3467,"41,335","4,962.00",12.0,40441
Town of Pineville - (NC),NC,2680,"27,119","3,217.00",11.86,15062
Town of Smithfield - (NC),NC,3390,"40,859","4,803.00",11.76,17451
Town of Tarboro - (NC),NC,4879,"52,513","6,238.00",11.88,18466
Town of Wake Forest - (NC),NC,5148,"63,909","9,234.50",14.45,19974
Tri-County Elec Member Corp,NC,20762,"320,293","35,020.00",10.93,18957
Tri-State Electric Member Corp,NC,1323,"11,747","1,529.00",13.02,19154
Union Electric Membership Corp - (NC),NC,73822,"1,087,432","130,836.00",12.03,19435
Virginia Electric & Power Co,NC,102429,"1,530,997","174,338.50",11.39,19876
Wake Electric Membership Corp,NC,40963,"578,868","72,715.00",12.56,19981
York Electric Coop Inc,NC,13,63,7,11.11,21002
Burke-Divide Electric Coop Inc,ND,2165,"40,249","3,300.00",8.2,2394
"Capital Electric Coop, Inc",ND,17611,"213,415","22,452.00",10.52,2985
Cass County Electric Coop Inc,ND,43093,"552,167","64,204.00",11.63,24949
City of Lakota - (ND),ND,400,"6,885",586,8.51,10629
City of Valley City,ND,3174,"45,132","3,191.00",7.07,19687
Dakota Valley Elec Coop Inc,ND,5463,"120,810","12,820.00",10.61,4717
KEM Electric Coop Inc,ND,2963,"38,919","4,960.80",12.75,10153
"Lower Yellowstone R E A, Inc",ND,780,"14,435","1,229.50",8.52,11272
McKenzie Electric Coop Inc,ND,5074,"99,774","7,485.80",7.5,12087
"McLean Electric Coop, Inc",ND,3484,"49,499","6,595.00",13.32,12090
Montana-Dakota Utilities Co,ND,78554,"758,940","80,687.00",10.63,12199
Mor-Gran-Sou Electric Coop Inc,ND,7371,"86,626","12,173.10",14.05,12899
Mountrail-Williams Elec Coop,ND,12234,"180,178","13,224.90",7.34,20413
Nodak Electric Coop Inc,ND,19186,"379,023","43,897.00",11.58,12301
"North Central Elec Coop, Inc",ND,6062,"126,706","12,053.20",9.51,13694
Northern Plains Electric Coop,ND,10087,"223,248","22,499.00",10.08,13196
Northern States Power Co - Minnesota,ND,80799,"753,332","79,671.60",10.58,13781
